Model name,Features,Best score,Train score,Test score,Sensitivity,Specificity,Precision,Accuracy,F1-score
rf0,"temperature, humidity, light, co2, humidity_ratio",0.9922,1.0,0.9932,0.9865,0.9952,0.984,0.9932,0.9853
rf1,"temperature, humidity, light, co2",0.9921,1.0,0.993,0.9865,0.9949,0.9832,0.993,0.9849
rf2,"temperature, humidity, co2, humidity_ratio",0.9826,0.9999,0.9852,0.9596,0.9929,0.976,0.9852,0.9677
rf3,"temperature, humidity, light, humidity_ratio",0.9919,0.9997,0.9928,0.9857,0.9949,0.9832,0.9928,0.9844
rf4,"temperature, humidity, humidity_ratio",0.9442,0.9877,0.9473,0.8526,0.9757,0.9134,0.9473,0.8819
rf5,"temperature, humidity",0.9433,0.9877,0.9482,0.8644,0.9734,0.9072,0.9482,0.8852
rf6,"temperature, light",0.9899,0.991,0.9899,0.9924,0.9891,0.9648,0.9899,0.9784
rf7,"humidity, light",0.9894,0.99,0.9895,0.9907,0.9891,0.9647,0.9895,0.9776
rf8,"light, humidity_ratio",0.9898,0.9909,0.9903,0.9941,0.9891,0.9648,0.9903,0.9793
rf9,"temperature, co2",0.9475,0.9974,0.9467,0.8736,0.9686,0.8932,0.9467,0.8833
rf10,"light, co2",0.9892,0.9901,0.9901,0.9933,0.9891,0.9648,0.9901,0.9788
rf11,"temperature, humidity, light, co2, humidity_ratio, weekday",0.9925,1.0,0.9934,0.9865,0.9954,0.9849,0.9934,0.9857
rf12,"temperature, humidity, light, co2, weekday",0.9923,1.0,0.9936,0.9874,0.9954,0.9849,0.9936,0.9861
rf13,"temperature, humidity, co2, humidity_ratio, weekday",0.9829,0.9999,0.986,0.9596,0.9939,0.9794,0.986,0.9694
rf14,"temperature, humidity, light, humidity_ratio, weekday",0.9923,0.9997,0.9926,0.9857,0.9947,0.9824,0.9926,0.984
rf15,"temperature, humidity, humidity_ratio, weekday",0.9506,0.9896,0.9502,0.8669,0.9752,0.913,0.9502,0.8894
rf16,"temperature, humidity, weekday",0.9504,0.9896,0.9502,0.8652,0.9757,0.9145,0.9502,0.8892
rf17,"temperature, light, weekday",0.9906,0.9913,0.9911,0.9949,0.9899,0.9672,0.9911,0.9809
rf18,"humidity, light, weekday",0.99,0.9905,0.9905,0.9933,0.9896,0.9664,0.9905,0.9796
rf19,"light, humidity_ratio, weekday",0.9902,0.9911,0.9903,0.9924,0.9896,0.9664,0.9903,0.9792
rf20,"temperature, co2, weekday",0.9537,0.9979,0.9514,0.8922,0.9691,0.8967,0.9514,0.8944
rf21,"light, co2, weekday",0.9898,1.0,0.9899,0.984,0.9917,0.9725,0.9899,0.9782
lda0,"temperature, humidity, light, co2, humidity_ratio",0.9856,0.9856,0.9868,0.9958,0.9841,0.9494,0.9868,0.972
lda1,"temperature, humidity, light, co2",0.985,0.9851,0.9846,0.9958,0.9813,0.9411,0.9846,0.9677
lda2,"temperature, humidity, co2, humidity_ratio",0.8366,0.8364,0.8325,0.5703,0.9112,0.6586,0.8325,0.6113
lda3,"temperature, humidity, light, humidity_ratio",0.984,0.9841,0.9846,0.9958,0.9813,0.9411,0.9846,0.9677
lda4,"temperature, humidity, humidity_ratio",0.8427,0.8431,0.8401,0.5594,0.9244,0.6895,0.8401,0.6177
lda5,"temperature, humidity",0.8323,0.8326,0.829,0.5147,0.9233,0.6685,0.829,0.5816
lda6,"temperature, light",0.9785,0.9786,0.9798,0.9958,0.975,0.9227,0.9798,0.9579
lda7,"humidity, light",0.9771,0.9768,0.9753,0.9966,0.9689,0.9058,0.9753,0.9491
lda8,"light, humidity_ratio",0.9751,0.9752,0.9739,0.9966,0.9671,0.901,0.9739,0.9464
lda9,"temperature, co2",0.8271,0.827,0.8204,0.572,0.895,0.6207,0.8204,0.5954
lda10,"light, co2",0.9769,0.977,0.9749,0.9949,0.9689,0.9057,0.9749,0.9482
