Model name,Features,Best score,Train score,Test score,Sensitivity,Specificity,Precision,Accuracy,F1-score
rf0,"temperature, humidity, light, co2, humidity_ratio",0.9938,1.0,0.9953,0.9873,0.9974,0.9904,0.9953,0.9889
rf1,"temperature, humidity, light, co2",0.994,1.0,0.9955,0.9884,0.9974,0.9905,0.9955,0.9894
rf2,"temperature, humidity, co2, humidity_ratio",0.987,0.9999,0.9864,0.9672,0.9915,0.9682,0.9864,0.9677
rf3,"temperature, humidity, light, humidity_ratio",0.9931,0.9996,0.9944,0.9831,0.9974,0.9904,0.9944,0.9867
rf4,"temperature, humidity, humidity_ratio",0.9573,0.9905,0.9613,0.9037,0.9768,0.9124,0.9613,0.908
rf5,"temperature, humidity",0.956,0.9905,0.9591,0.8984,0.9753,0.9071,0.9591,0.9027
rf6,"temperature, light",0.9907,0.9915,0.9911,0.9915,0.9909,0.967,0.9911,0.9791
rf7,"humidity, light",0.9911,0.9994,0.9937,0.9831,0.9966,0.9872,0.9937,0.9852
rf8,"light, humidity_ratio",0.9907,0.9914,0.9913,0.9905,0.9915,0.9689,0.9913,0.9796
rf9,"temperature, co2",0.9525,0.9968,0.9582,0.8984,0.9742,0.9032,0.9582,0.9008
rf10,"light, co2",0.9913,0.9923,0.9917,0.9915,0.9918,0.97,0.9917,0.9806
rf11,"temperature, humidity, light, co2, humidity_ratio, weekday",0.9946,1.0,0.9955,0.9905,0.9969,0.9884,0.9955,0.9894
rf12,"temperature, humidity, light, co2, weekday",0.9945,1.0,0.9958,0.9894,0.9974,0.9905,0.9958,0.9899
rf13,"temperature, humidity, co2, humidity_ratio, weekday",0.9875,0.9999,0.9877,0.9725,0.9918,0.9694,0.9877,0.9709
rf14,"temperature, humidity, light, humidity_ratio, weekday",0.994,0.9996,0.996,0.9905,0.9974,0.9905,0.996,0.9905
rf15,"temperature, humidity, humidity_ratio, weekday",0.9653,0.9923,0.9705,0.9259,0.9824,0.9338,0.9705,0.9299
rf16,"temperature, humidity, weekday",0.9663,0.9923,0.9674,0.9206,0.9799,0.9245,0.9674,0.9226
rf17,"temperature, light, weekday",0.9917,0.9918,0.9924,0.9947,0.9918,0.9701,0.9924,0.9822
rf18,"humidity, light, weekday",0.992,0.9994,0.9949,0.9884,0.9966,0.9873,0.9949,0.9878
rf19,"light, humidity_ratio, weekday",0.9917,0.9995,0.9933,0.9873,0.9949,0.9811,0.9933,0.9842
rf20,"temperature, co2, weekday",0.9606,0.9974,0.964,0.9228,0.9751,0.9083,0.964,0.9155
rf21,"light, co2, weekday",0.9919,0.9919,0.9924,0.9926,0.9923,0.972,0.9924,0.9822
lda0,"temperature, humidity, light, co2, humidity_ratio",0.9871,0.9871,0.9884,0.9968,0.9861,0.9506,0.9884,0.9731
lda1,"temperature, humidity, light, co2",0.9863,0.9864,0.9877,0.9979,0.985,0.9468,0.9877,0.9717
lda2,"temperature, humidity, co2, humidity_ratio",0.8338,0.8341,0.8382,0.545,0.9167,0.6366,0.8382,0.5872
lda3,"temperature, humidity, light, humidity_ratio",0.9851,0.9849,0.9855,0.9979,0.9821,0.9374,0.9855,0.9667
lda4,"temperature, humidity, humidity_ratio",0.8397,0.8397,0.8413,0.5471,0.9201,0.6471,0.8413,0.5929
lda5,"temperature, humidity",0.8247,0.8255,0.8277,0.473,0.9226,0.6208,0.8277,0.5369
lda6,"temperature, light",0.9797,0.9796,0.9799,0.9968,0.9753,0.9155,0.9799,0.9544
lda7,"humidity, light",0.9759,0.9758,0.9783,0.9968,0.9734,0.9093,0.9783,0.951
lda8,"light, humidity_ratio",0.9734,0.9734,0.9768,0.9979,0.9711,0.9024,0.9768,0.9477
lda9,"temperature, co2",0.816,0.8152,0.8183,0.5354,0.894,0.575,0.8183,0.5545
lda10,"light, co2",0.9751,0.975,0.9783,0.9979,0.9731,0.9085,0.9783,0.9511
lda11,"temperature, humidity, light, co2, humidity_ratio, weekday",0.9895,0.9895,0.9915,0.9989,0.9895,0.9623,0.9915,0.9803
lda12,"temperature, humidity, light, co2, weekday",0.99,0.99,0.9915,0.9968,0.9901,0.9642,0.9915,0.9802
lda13,"temperature, humidity, co2, humidity_ratio, weekday",0.8419,0.8423,0.8485,0.5757,0.9215,0.6626,0.8485,0.6161
lda14,"temperature, humidity, light, humidity_ratio, weekday",0.9893,0.9893,0.9913,0.9979,0.9895,0.9622,0.9913,0.9797
lda15,"temperature, humidity, humidity_ratio, weekday",0.8536,0.8538,0.8585,0.5926,0.9297,0.6931,0.8585,0.6389
lda16,"temperature, humidity, weekday",0.856,0.856,0.8576,0.5439,0.9416,0.7139,0.8576,0.6174
lda17,"temperature, light, weekday",0.9901,0.9901,0.9917,0.9979,0.9901,0.9642,0.9917,0.9808
lda18,"humidity, light, weekday",0.9855,0.9855,0.987,0.9968,0.9844,0.9448,0.987,0.9701
lda19,"light, humidity_ratio, weekday",0.9808,0.9806,0.9839,0.9979,0.9802,0.9309,0.9839,0.9632
lda20,"temperature, co2, weekday",0.828,0.8285,0.8304,0.5587,0.9031,0.6069,0.8304,0.5818
lda21,"light, co2, weekday",0.9791,0.9792,0.9812,0.9989,0.9765,0.9192,0.9812,0.9574
cart0,"temperature, humidity, light, co2, humidity_ratio",0.9911,1.0,0.9924,0.9799,0.9957,0.9841,0.9924,0.982
cart1,"temperature, humidity, light, co2",0.9925,1.0,0.9931,0.9831,0.9957,0.9841,0.9931,0.9836
cart2,"temperature, humidity, co2, humidity_ratio",0.9804,0.9999,0.9821,0.9556,0.9892,0.9596,0.9821,0.9576
cart3,"temperature, humidity, light, humidity_ratio",0.9899,0.9911,0.992,0.9915,0.9921,0.971,0.992,0.9812
cart4,"temperature, humidity, humidity_ratio",0.9493,0.9905,0.9522,0.8857,0.97,0.8876,0.9522,0.8867
cart5,"temperature, humidity",0.9478,0.9905,0.9542,0.8794,0.9742,0.9013,0.9542,0.8902
cart6,"temperature, light",0.9907,0.9909,0.9911,0.9915,0.9909,0.967,0.9911,0.9791
cart7,"humidity, light",0.9907,0.9908,0.9913,0.9915,0.9912,0.968,0.9913,0.9796
cart8,"light, humidity_ratio",0.9906,0.9913,0.9915,0.9905,0.9918,0.9699,0.9915,0.9801
cart9,"temperature, co2",0.9434,0.9969,0.9553,0.8878,0.9734,0.8992,0.9553,0.8935
cart10,"light, co2",0.991,0.9917,0.992,0.9915,0.9921,0.971,0.992,0.9812
cart11,"temperature, humidity, light, co2, humidity_ratio, weekday",0.9921,1.0,0.9908,0.9714,0.996,0.985,0.9908,0.9782
cart12,"temperature, humidity, light, co2, weekday",0.9918,1.0,0.9935,0.9831,0.9963,0.9862,0.9935,0.9846
cart13,"temperature, humidity, co2, humidity_ratio, weekday",0.9792,0.9999,0.9832,0.9577,0.9901,0.9628,0.9832,0.9602
cart14,"temperature, humidity, light, humidity_ratio, weekday",0.9919,0.9997,0.9933,0.981,0.9966,0.9872,0.9933,0.9841
cart15,"temperature, humidity, humidity_ratio, weekday",0.9583,0.9923,0.9604,0.8952,0.9779,0.9156,0.9604,0.9053
cart16,"temperature, humidity, weekday",0.9587,0.9923,0.9654,0.9206,0.9773,0.9158,0.9654,0.9182
cart17,"temperature, light, weekday",0.9911,0.9917,0.9917,0.9915,0.9918,0.97,0.9917,0.9806
cart18,"humidity, light, weekday",0.9913,0.9994,0.9908,0.9714,0.996,0.985,0.9908,0.9782
cart19,"light, humidity_ratio, weekday",0.9916,0.9917,0.9926,0.9958,0.9918,0.9701,0.9926,0.9828
cart20,"temperature, co2, weekday",0.9519,0.9974,0.956,0.8995,0.9711,0.8929,0.956,0.8962
cart21,"light, co2, weekday",0.9908,0.9923,0.9924,0.9926,0.9923,0.972,0.9924,0.9822
